iter	MultiClass
0	1.278609783
1	1.197639292
2	1.134070861
3	1.078254581
4	1.033162755
5	0.9950044167
6	0.9615935234
7	0.9322816387
8	0.9039464911
9	0.8778486679
10	0.8566681878
11	0.8379612141
12	0.8205421933
13	0.8038483218
14	0.7886787675
15	0.7731880918
16	0.7604676498
17	0.7476503662
18	0.736978856
19	0.723077497
20	0.711098208
21	0.7004852519
22	0.6905726277
23	0.6814208027
24	0.6730620468
25	0.6652616585
26	0.6567738041
27	0.6504529969
28	0.6432739826
29	0.636914793
30	0.6298148258
31	0.6246727807
32	0.6185778179
33	0.6131683883
34	0.6077820045
35	0.6002573347
36	0.5952938292
37	0.5909328522
38	0.5860878739
39	0.5816593573
40	0.577052429
41	0.5728954192
42	0.5683883511
43	0.5641256878
44	0.5596588735
45	0.5554309169
46	0.5523922077
47	0.5485609586
48	0.5459126117
49	0.5425104557
50	0.5391177635
51	0.5362892106
52	0.5332132515
53	0.5302178764
54	0.5264247463
55	0.5243077592
56	0.5209532826
57	0.5186133546
58	0.5160896826
59	0.513384265
60	0.5108468099
61	0.5080187107
62	0.5056364403
63	0.503812537
64	0.5017129048
65	0.4994465039
66	0.4972665688
67	0.4949307215
68	0.4926504654
69	0.4902957147
70	0.4881968307
71	0.4862788382
72	0.48423918
73	0.4823899881
74	0.480171225
75	0.4782087626
76	0.4761226552
77	0.4744751425
78	0.4726317252
79	0.4702685819
80	0.4681989414
81	0.4666150005
82	0.4641928388
83	0.4619287722
84	0.4607435171
85	0.4587161631
86	0.457411248
87	0.4556087819
88	0.453633028
89	0.4519014541
90	0.4506879881
91	0.4488670332
92	0.4469540407
93	0.4455983524
94	0.4440168547
95	0.4426143506
96	0.4411713623
97	0.4394903783
98	0.4379803478
99	0.4366295539
100	0.4352461937
101	0.4335299991
102	0.4315437806
103	0.4303988152
104	0.4292392136
105	0.4279898644
106	0.4269062399
107	0.4257372479
108	0.4244775446
109	0.4234070374
110	0.4219476774
111	0.4207240693
112	0.4195321996
113	0.4183082689
114	0.4173971841
115	0.4162559034
116	0.4144524381
117	0.4132558654
118	0.4123506957
119	0.4109942648
120	0.4096189193
121	0.4086591188
122	0.4072913872
123	0.4061043467
124	0.4049674036
125	0.4038197532
126	0.4022924911
127	0.4013960311
128	0.4001795596
129	0.3993880335
130	0.397668662
131	0.3969110675
132	0.3956399699
133	0.3947067449
134	0.3939687984
135	0.393347837
136	0.3922346785
137	0.3910309747
138	0.3901025475
139	0.388963083
140	0.3880806721
141	0.3868691307
142	0.3859593671
143	0.3852643912
144	0.3846184516
145	0.3837527184
146	0.3826350547
147	0.3817609135
148	0.3808732109
149	0.3802431151
150	0.3791766576
151	0.3783818306
152	0.3775491706
153	0.3764292625
154	0.3758015404
155	0.3751890789
156	0.3745169116
